Player,First,Last,Nickname,Ht,Wt,Reach,Stance,DOB,W,L,D,Belt,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Justin Edwards,Justin,Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,"Jan 26, 1983",9,5,0,,2.68,42%,3.32,51%,2.14,26%,27%,1.0,http://www.ufcstats.com/fighter-details/e56daf7725a0b5ab
Leon Edwards,Leon,Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,"Aug 25, 1991",22,6,0,,2.60,54%,2.44,52%,1.25,37%,63%,0.4,http://www.ufcstats.com/fighter-details/f1fac969a1d70b08
Te Edwards,Te,Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,"Sep 11, 1990",6,3,0,,1.50,41%,4.15,44%,0.72,100%,44%,0.0,http://www.ufcstats.com/fighter-details/ef44e4ea9050f2ea
Adli Edwards,Adli,Edwards,,--,145 lbs.,--,,"Aug 28, 1989",4,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e6904a03a66e711d
Joselyne Edwards,Joselyne,Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,"Sep 29, 1995",17,6,0,,4.61,53%,3.24,50%,1.43,40%,61%,0.6,http://www.ufcstats.com/fighter-details/f9ab66e67240db7b
Tom Egan,Tom,Egan,,"5' 11""",170 lbs.,--,Orthodox,--,7,5,0,,0.00,0%,3.91,50%,0.00,0%,28%,0.0,http://www.ufcstats.com/fighter-details/eae4aec1a5a8ff01
Stephanie Egger,Stephanie,Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,"Aug 12, 1988",8,5,0,,2.20,46%,2.48,52%,2.48,42%,50%,0.6,http://www.ufcstats.com/fighter-details/5e6294b37bbef029
Justin Eilers,Justin,Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",19,7,1,,2.86,43%,5.66,49%,0.82,25%,50%,0.0,http://www.ufcstats.com/fighter-details/27fc9218a3653e3c
Jon Olav Einemo,Jon Olav,Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975",6,3,0,,2.15,52%,3.05,52%,1.73,55%,43%,0.0,http://www.ufcstats.com/fighter-details/0577808d22dfe79c
Per Eklund,Per,Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,"Nov 12, 1980",14,5,1,,2.07,61%,2.38,67%,2.07,11%,50%,3.6,http://www.ufcstats.com/fighter-details/58bc81376286b3d3
John Elam,John,Elam,,--,--,--,,--,2,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/22d80fb67e50ab0b
Edward Faaloloto,Edward,Faaloloto,,--,155 lbs.,"70.0""",Orthodox,"Jul 15, 1984",2,5,0,,2.28,32%,6.25,44%,1.01,25%,33%,0.0,http://www.ufcstats.com/fighter-details/6224e8d0a34264eb
Urijah Faber,Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,"May 14, 1979",35,11,0,,2.65,40%,2.59,64%,1.54,30%,58%,0.8,http://www.ufcstats.com/fighter-details/78114b7199cef90c
Melinda Fabian,Melinda,Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,"Jun 25, 1987",4,4,2,,4.03,41%,4.00,62%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/8c020156779f7888
Wagnney Fabiano,Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,"Jul 14, 1975",16,4,0,,1.19,38%,0.66,70%,3.44,64%,100%,0.4,http://www.ufcstats.com/fighter-details/40389d39a92f5bfa
Bartosz Fabinski,Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,"Apr 26, 1986",15,5,0,,2.23,68%,1.46,51%,7.10,70%,80%,0.0,http://www.ufcstats.com/fighter-details/e17ac6410c8377f4
Ron Faircloth,Ron,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979",33,20,0,,0.39,40%,8.90,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/453ee00c3e1ae9dd
Jason Fairn,Jason,Fairn,,"6' 1""",230 lbs.,--,,--,4,5,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/adea9f0090aa8e14
Zarah Fairn,Zarah,Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,"Dec 10, 1983",6,6,0,,4.55,31%,7.40,45%,0.00,0%,60%,0.0,http://www.ufcstats.com/fighter-details/862b0b3375aa4b6e
Rinat Fakhretdinov,Rinat,Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,"Sep 28, 1991",24,1,1,,5.03,52%,3.61,54%,3.91,34%,91%,0.2,http://www.ufcstats.com/fighter-details/8f765fd5775a8873
Maiquel Falcao,Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981",37,10,0,,1.67,55%,0.53,86%,1.00,100%,71%,3.0,http://www.ufcstats.com/fighter-details/d58478ded5534695
Pedro Falcao,Pedro,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,"Jul 30, 1992",16,5,0,,3.21,48%,3.39,50%,2.73,25%,66%,0.0,http://www.ufcstats.com/fighter-details/f7be1db194e03d7e
Brodie Farber,Brodie,Farber,,"6' 1""",170 lbs.,--,Orthodox,"Jul 05, 1980",16,7,0,,1.69,45%,2.17,53%,0.90,50%,20%,0.9,http://www.ufcstats.com/fighter-details/91d73ee59347ac16
Joao Paulo Faria,Joao Paulo,Faria,,"5' 9""",155 lbs.,--,,--,1,1,0,,6.69,64%,2.09,85%,1.25,50%,0%,1.2,http://www.ufcstats.com/fighter-details/04e9955f33e0c267
Kalindra Faria,Kalindra,Faria,,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986",18,8,1,,2.23,56%,1.44,45%,1.31,66%,20%,0.7,http://www.ufcstats.com/fighter-details/27b164b0d1833df0
Jair Farias,Jair,Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,"Mar 16, 1993",10,1,0,,3.80,39%,5.33,51%,0.00,0%,41%,0.0,http://www.ufcstats.com/fighter-details/431262bbc69215dc
Chance Farrar,Chance,Farrar,,"5' 9""",145 lbs.,--,Southpaw,"Sep 11, 1975",8,3,0,,0.81,22%,2.21,67%,3.02,100%,0%,0.0,http://www.ufcstats.com/fighter-details/49c7236c737d7e59
Rico Farrington,Rico,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,"Jun 19, 1989",7,3,0,,6.33,41%,7.20,51%,0.00,0%,20%,0.0,http://www.ufcstats.com/fighter-details/f89e6e66b9b112de
Kelly Faszholz,Kelly,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,"Apr 09, 1985",4,2,0,,4.01,48%,3.61,52%,0.00,0%,44%,0.0,http://www.ufcstats.com/fighter-details/9c42a0de8e012870
Rodney Faverus,Rodney,Faverus,,"6' 0""",215 lbs.,--,Southpaw,"Jan 03, 1975",25,20,3,,2.30,53%,1.60,54%,4.50,100%,25%,0.0,http://www.ufcstats.com/fighter-details/5af26b3201690d29
Paul Felder,Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,"Apr 25, 1984",17,6,0,,3.70,44%,3.44,48%,0.29,28%,64%,0.2,http://www.ufcstats.com/fighter-details/e5010b1b94ca5755
Carlos Felipe,Carlos,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,"Jan 12, 1995",11,2,0,,4.88,45%,5.60,50%,0.00,0%,72%,0.0,http://www.ufcstats.com/fighter-details/a2ea77e974c5889f
JP Felty,JP,Felty,,--,170 lbs.,--,,"Apr 28, 1979",4,5,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/954e3f4e2b0e6510
Feng Pengchao,Feng,Pengchao,,--,135 lbs.,--,,--,15,9,1,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/86597694317e5e1b
Feng Xiaocan,Feng,Xiaocan,,"5' 7""",115 lbs.,"67.0""",Southpaw,"Oct 27, 2001",10,4,0,,4.18,49%,1.49,68%,0.70,100%,63%,0.0,http://www.ufcstats.com/fighter-details/c940b42df95bbd28
Kevin Ferguson,Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,"Feb 08, 1974",5,2,0,,2.30,50%,3.41,38%,3.10,72%,36%,1.2,http://www.ufcstats.com/fighter-details/27541033b97c076d
James Gabert,James,Gabert,,--,178 lbs.,--,,--,6,4,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/fcd8b623892b9a10
Gustavo Gabriel,Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,"Apr 01, 1994",13,1,0,,4.06,65%,4.26,46%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/fe98f86284a6eeb3
Claudia Gadelha,Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,"Dec 07, 1988",18,5,0,,3.31,41%,4.57,57%,3.03,42%,58%,0.7,http://www.ufcstats.com/fighter-details/ec34349e7dffcde7
Alavutdin Gadjiev,Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,"Jun 23, 1982",18,13,1,,0.99,27%,0.99,57%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/a7a79b8efbceaaac
Magomed Gadzhiyasulov,Magomed,Gadzhiyasulov,,"6' 2""",205 lbs.,"75.0""",Orthodox,"Nov 04, 1993",9,1,0,,2.89,49%,1.64,62%,3.67,73%,61%,0.0,http://www.ufcstats.com/fighter-details/6e344b71421103da
Justin Gaethje,Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,"Nov 14, 1988",27,5,0,,6.48,58%,7.05,51%,0.33,40%,74%,0.0,http://www.ufcstats.com/fighter-details/9e8f6c728eb01124
Sheila Gaff,Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,"Dec 29, 1989",9,7,0,,1.60,50%,2.89,28%,0.00,0%,20%,0.0,http://www.ufcstats.com/fighter-details/837d30395faca41e
Muin Gafurov,Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Orthodox,"May 17, 1996",20,7,0,,3.36,47%,2.51,55%,1.57,28%,70%,0.0,http://www.ufcstats.com/fighter-details/a54660deb6a8489c
Mitch Gagnon,Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,"Oct 10, 1984",12,5,0,,2.76,46%,2.21,61%,1.16,25%,65%,1.9,http://www.ufcstats.com/fighter-details/b8592b4a383696cd
Brandon Gaines,Brandon,Gaines,,"6' 3""",185 lbs.,--,,"Feb 24, 1982",5,21,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8e6cfbd455f0f9c2
Travis Galbraith,Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,"May 18, 1981",18,7,0,,2.21,40%,3.45,48%,1.33,25%,0%,1.3,http://www.ufcstats.com/fighter-details/06dc1a58663579d2
Dave Galera,Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,"Jan 12, 1978",5,1,0,,1.67,69%,0.53,33%,0.00,0%,14%,2.0,http://www.ufcstats.com/fighter-details/0876d21328cf4a45
Zelg Galesic,Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1979",11,9,0,,4.86,62%,0.61,66%,1.30,100%,20%,1.3,http://www.ufcstats.com/fighter-details/8a1b4330c7957961
Mickey Gall,Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,"Jan 22, 1992",7,7,0,,3.50,49%,4.72,49%,1.15,32%,37%,1.6,http://www.ufcstats.com/fighter-details/9e50097a89442158
Daniel Gallemore,Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,--,7,3,0,,3.10,41%,6.00,52%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/96706c75a2b14164
Tom Gallicchio,Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,"Sep 23, 1986",19,10,0,,3.53,26%,7.07,43%,1.00,11%,0%,0.0,http://www.ufcstats.com/fighter-details/cc81c92fe2254935
Turrell Galloway,Turrell,Galloway,,"5' 3""",145 lbs.,--,,"Aug 11, 1976",8,6,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7e654edcddd71550
Eric Galvan,Eric,Galvan,,--,155 lbs.,--,,--,0,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ad3fdba28a7540cf
Andre Galvao,Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,"Sep 29, 1982",5,2,0,,2.34,52%,1.56,58%,2.02,27%,0%,2.8,http://www.ufcstats.com/fighter-details/45fe6765c56d8018
Marcos Galvao,Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,"Jun 23, 1981",18,8,1,,1.97,32%,3.86,61%,2.27,28%,88%,1.1,http://www.ufcstats.com/fighter-details/e15d0a2519d6a0b5
Lucas Gamaza,Lucas,Gamaza,,--,170 lbs.,--,,--,8,4,0,,7.57,31%,6.99,45%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/289a3b69b85da7cd
Joey Gambino,Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,"Oct 26, 1988",9,2,0,,2.47,35%,2.53,51%,0.00,0%,42%,0.8,http://www.ufcstats.com/fighter-details/10559c53de0b950e
Manvel Gamburyan,Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,"May 08, 1981",15,10,0,,2.13,41%,2.83,55%,3.26,34%,69%,0.7,http://www.ufcstats.com/fighter-details/cc6f9d1e89f3449a
Mateusz Gamrot,Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,"Dec 11, 1990",25,4,0,,3.29,51%,2.96,59%,5.15,37%,83%,0.1,http://www.ufcstats.com/fighter-details/72db2a14ffa73ece
Shamil Gamzatov,Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,"Aug 09, 1990",14,1,0,,5.35,48%,3.46,51%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/0d980975001ae3d8
Chelsea Hackett,Chelsea,Hackett,Hammer,"5' 4""",125 lbs.,"66.0""",Switch,"Aug 16, 1998",3,1,1,,2.58,51%,4.85,46%,0.00,0%,57%,0.0,http://www.ufcstats.com/fighter-details/184b7a36d50dcc5e
Keith Hackney,Keith,Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,"Apr 15, 1958",2,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/bf12aca029bfcc47
Cody Haddon,Cody,Haddon,,"5' 7""",135 lbs.,"69.0""",Orthodox,"Sep 08, 1998",8,1,0,,9.20,51%,3.47,64%,2.48,37%,83%,0.8,http://www.ufcstats.com/fighter-details/8e6654e9f0461b8f
Jake Hadley,Jake,Hadley,White Kong,"5' 7""",135 lbs.,"70.0""",Southpaw,"Aug 03, 1996",11,4,0,,3.80,43%,4.16,61%,0.33,11%,54%,1.1,http://www.ufcstats.com/fighter-details/60a42bf82447c919
Steve Hadsel,Steve,Hadsel,,"5' 8""",170 lbs.,--,,--,3,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/99793cf88c5adeee
Damir Hadzovic,Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,"Aug 08, 1986",14,8,0,,3.34,47%,3.74,59%,0.91,54%,34%,0.1,http://www.ufcstats.com/fighter-details/38c626ca912c7bac
Bassil Hafez,Bassil,Hafez,The Habibi,"5' 11""",170 lbs.,"72.0""",Orthodox,"Jan 31, 1992",9,4,1,,3.71,38%,5.68,41%,2.21,24%,50%,0.0,http://www.ufcstats.com/fighter-details/f4d92416da98804b
Tim Hague,Tim,Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,"May 09, 1983",21,13,0,,2.79,47%,4.14,46%,1.72,33%,85%,0.9,http://www.ufcstats.com/fighter-details/219a254e15d60135
Theo Haig,Theo,Haig,,"6' 2""",185 lbs.,"77.0""",Orthodox,"Aug 23, 1996",6,1,0,,0.00,0%,28.33,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8a213af406eb2dd4
Yazan Hajeh,Yazan,Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,--,Orthodox,"Sep 04, 1992",6,1,0,,1.54,25%,17.44,44%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/4955c524c2a71469
Stoney Hale,Stoney,Hale,The Skuller,"6' 0""",--,--,,"Oct 18, 1979",5,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/206a7d47eb62170e
Kevin Haley,Kevin,Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,--,6,4,0,,0.87,59%,0.87,64%,3.00,100%,0%,2.0,http://www.ufcstats.com/fighter-details/439d4bbefd4e6940
Mark Hall,Mark,Hall,,"6' 0""",190 lbs.,--,Orthodox,"Jan 26, 1961",5,6,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/18524b46c570730b
Uriah Hall,Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,"Jul 31, 1984",18,11,0,,3.23,48%,3.85,54%,0.54,38%,64%,0.1,http://www.ufcstats.com/fighter-details/65578a75fa7900e3
Ryan Hall,Ryan,Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",Southpaw,"Feb 22, 1985",9,2,0,,2.38,50%,1.33,65%,0.22,9%,0%,2.2,http://www.ufcstats.com/fighter-details/8866c6f509c19089
Dennis Hallman,Dennis,Hallman,Superman,"5' 9""",155 lbs.,"72.0""",Orthodox,"Dec 02, 1975",53,20,2,,1.12,44%,1.96,43%,1.79,30%,25%,2.1,http://www.ufcstats.com/fighter-details/8a8a84b743ae7699
Piotr Hallmann,Piotr,Hallmann,Pletwal,"5' 9""",155 lbs.,"71.0""",Orthodox,"Aug 25, 1987",18,6,0,,3.98,45%,3.17,58%,2.55,44%,70%,0.4,http://www.ufcstats.com/fighter-details/a3be148af5c7b088
Tony Halme,Tony,Halme,,"6' 3""",300 lbs.,--,Orthodox,"Jan 06, 1963",0,4,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/bad28b7b34f334de
Brandon Halsey,Brandon,Halsey,Bull,"6' 0""",185 lbs.,--,,"Sep 16, 1986",9,3,0,,1.74,47%,0.87,65%,4.98,53%,100%,1.2,http://www.ufcstats.com/fighter-details/e763679f15326ae1
John Halverson,John,Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,"Sep 08, 1972",16,8,0,,2.94,43%,5.29,47%,0.00,0%,66%,2.0,http://www.ufcstats.com/fighter-details/88c8f47241d90040
Seo Hee Ham,Seo Hee,Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,"Mar 08, 1987",17,8,0,,4.20,39%,5.15,61%,0.00,0%,66%,0.2,http://www.ufcstats.com/fighter-details/165c244bcca3ed26
Frank Hamaker,Frank,Hamaker,,--,--,--,,--,1,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c3c23c99477c041b
Kazuhiro Hamanaka,Kazuhiro,Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,"Oct 24, 1978",5,7,1,,1.70,37%,0.91,60%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/1b4d6971bb18b82c
Rami Hamed,Rami,Hamed,,"6' 1""",170 lbs.,"71.0""",Orthodox,"Apr 25, 1991",13,3,0,,3.87,51%,3.40,50%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/a59017211b775b5d
Matt Hamill,Matt,Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,"Oct 05, 1976",12,8,0,,3.69,42%,3.80,61%,3.00,34%,91%,0.0,http://www.ufcstats.com/fighter-details/98b80a717b9bda17
Matty Iann,Matty,Iann,Ironside,--,135 lbs.,--,,"Oct 26, 2000",4,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/031c06c8210e357c
Al Iaquinta,Al,Iaquinta,Raging,"5' 10""",155 lbs.,"70.0""",Orthodox,"Apr 30, 1987",14,7,1,,4.06,40%,4.53,61%,0.63,18%,74%,0.2,http://www.ufcstats.com/fighter-details/59279a7c978f7da0
Khadis Ibragimov,Khadis,Ibragimov,,"6' 3""",205 lbs.,"78.0""",Orthodox,"May 21, 1995",8,4,0,,3.55,49%,4.26,47%,0.97,30%,80%,0.3,http://www.ufcstats.com/fighter-details/c3218c810959d279
Minoki Ichihara,Minoki,Ichihara,,"5' 7""",178 lbs.,--,Orthodox,"Jun 30, 1968",0,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4565d435005319c0
Alibi Idiris,Alibi,Idiris,,"5' 6""",125 lbs.,"68.0""",Orthodox,"Oct 22, 1994",12,1,0,,2.51,44%,2.64,60%,3.25,31%,66%,0.0,http://www.ufcstats.com/fighter-details/30cad5a751adcb48
Dan Ige,Dan,Ige,100K,"5' 7""",145 lbs.,"71.0""",Orthodox,"Aug 06, 1991",19,11,0,,3.60,45%,3.56,56%,0.93,26%,56%,0.2,http://www.ufcstats.com/fighter-details/82a5152216251682
Valeri Ignatov,Valeri,Ignatov,,"5' 9""",170 lbs.,--,Orthodox,--,1,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7b6ce3a9460565b5
Sergey Ignatov,Sergey,Ignatov,,"5' 9""",210 lbs.,--,Orthodox,"Oct 13, 1971",0,1,0,,0.35,50%,3.25,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/df9e9c1f65805d29
Fabiano Iha,Fabiano,Iha,,"5' 8""",155 lbs.,--,Orthodox,"Jul 28, 1970",9,5,0,,1.73,47%,2.49,42%,2.88,40%,50%,2.9,http://www.ufcstats.com/fighter-details/263ebd4a669e1e98
Seichi Ikemoto,Seichi,Ikemoto,,"5' 11""",168 lbs.,--,Orthodox,"Aug 24, 1975",21,19,5,,2.59,32%,3.74,57%,1.23,26%,60%,0.0,http://www.ufcstats.com/fighter-details/81f38d1640c4e70d
Mikhail Iloukhine,Mikhail,Iloukhine,,"5' 9""",205 lbs.,--,Orthodox,"Nov 21, 1966",30,11,1,,0.16,20%,2.95,26%,0.00,0%,0%,7.0,http://www.ufcstats.com/fighter-details/b71667c778b6d9e5
Zelim Imadaev,Zelim,Imadaev,,"6' 0""",170 lbs.,"76.0""",Orthodox,"Jan 25, 1995",8,3,0,,2.91,36%,4.35,43%,0.38,50%,60%,0.0,http://www.ufcstats.com/fighter-details/7f0f171414d0a287
Yusuke Imamura,Yusuke,Imamura,,"5' 8""",220 lbs.,--,Orthodox,"Aug 08, 1976",2,6,0,,0.18,50%,1.83,52%,2.75,50%,0%,0.0,http://www.ufcstats.com/fighter-details/2ce6541127b0e232
Masakazu Imanari,Masakazu,Imanari,,"5' 4""",139 lbs.,--,Southpaw,"Feb 10, 1976",36,16,2,,0.55,30%,1.74,57%,0.00,0%,0%,2.1,http://www.ufcstats.com/fighter-details/a4dd5c9a75763295
Nassourdine Imavov,Nassourdine,Imavov,The Sniper,"6' 3""",185 lbs.,"75.0""",Orthodox,"Mar 01, 1996",17,4,0,,4.28,54%,3.17,58%,0.74,32%,81%,1.0,http://www.ufcstats.com/fighter-details/881bf86d4cba8578
Brad Imes,Brad,Imes,Hillbilly Heartthrob,"6' 7""",265 lbs.,--,Orthodox,"Mar 13, 1977",13,7,0,,2.73,31%,4.24,49%,1.72,71%,0%,1.0,http://www.ufcstats.com/fighter-details/4908c5ee68a50ee5
Michael Imperato,Michael,Imperato,,"5' 7""",135 lbs.,"66.0""",Switch,"Sep 01, 1989",12,7,0,,1.93,48%,2.67,60%,1.00,12%,0%,1.0,http://www.ufcstats.com/fighter-details/59e52d56bab2b1ee
Rui Imura,Rui,Imura,,"5' 10""",135 lbs.,"69.0""",Southpaw,"Mar 24, 1999",12,5,0,,1.65,33%,4.19,33%,1.65,20%,0%,0.0,http://www.ufcstats.com/fighter-details/bb56173e2275e622
Chris Indich,Chris,Indich,,"5' 10""",170 lbs.,--,,"Apr 22, 1987",6,4,0,,1.31,30%,4.32,43%,0.75,50%,50%,1.5,http://www.ufcstats.com/fighter-details/d5b7fac960e58920
Chris Inman,Chris,Inman,,--,--,--,,--,1,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f0a381ba65d2a933
Guto Inocente,Guto,Inocente,,"6' 3""",205 lbs.,--,Orthodox,"May 29, 1986",7,4,0,,4.13,66%,2.92,54%,0.67,33%,66%,0.7,http://www.ufcstats.com/fighter-details/e7fe5315b1efeb92
Enson Inoue,Enson,Inoue,Yamato Damashii,"5' 10""",210 lbs.,--,Orthodox,"Apr 15, 1967",12,8,0,,1.70,63%,1.88,30%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/0cf935519d439ba6
Egan Inoue,Egan,Inoue,,"5' 9""",190 lbs.,--,Southpaw,"Jul 04, 1965",13,8,0,,1.66,36%,3.31,57%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/37a6c95201592fea
Katsuya Inoue,Katsuya,Inoue,,"5' 9""",168 lbs.,--,Southpaw,"Aug 10, 1979",19,9,4,,3.41,24%,12.89,51%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/b5882371e2a3900d
Takeshi Inoue,Takeshi,Inoue,Lion,"5' 8""",145 lbs.,--,,"Mar 18, 1980",23,10,0,,2.54,44%,3.32,61%,0.00,0%,47%,0.0,http://www.ufcstats.com/fighter-details/a61a0cd2829e5d4e
Yves Jabouin,Yves,Jabouin,Tiger,"5' 7""",135 lbs.,"68.0""",Orthodox,"May 30, 1979",20,11,0,,3.06,41%,2.93,62%,1.94,60%,82%,0.1,http://www.ufcstats.com/fighter-details/b4eeac608fc82f88
Kevin Jackson,Kevin,Jackson,,"5' 10""",199 lbs.,--,Switch,"Nov 25, 1964",4,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/13b2f59210dda9cc
Eugene Jackson,Eugene,Jackson,The Wolf,"5' 8""",185 lbs.,--,Orthodox,"Sep 23, 1966",15,9,1,,2.19,33%,3.44,32%,1.91,71%,16%,2.3,http://www.ufcstats.com/fighter-details/ce783bf73b5131f9
Quinton Jackson,Quinton,Jackson,Rampage,"6' 1""",205 lbs.,"73.0""",Orthodox,"Jun 20, 1978",37,12,0,,3.25,54%,2.51,55%,1.52,56%,73%,0.1,http://www.ufcstats.com/fighter-details/ffc088e64fab57e9
Jeremy Jackson,Jeremy,Jackson,Scorpion,"5' 10""",170 lbs.,--,Orthodox,"Sep 19, 1982",9,5,0,,0.71,27%,2.03,25%,1.52,40%,58%,0.0,http://www.ufcstats.com/fighter-details/ad32471f01e7b1a5
